,Class 0,Class 1,Class 2,Class 3,Class 4,Class 5,Class 6,Class 7,Class 8,Class 9,Class 10,Class 11,Class 12,Class 13,Class 14,Class 15,Class 16,Class 17,Class 18,Class 19,Class 20,Class 21,Class 22,Class 23,Class 24,Class 25,Class 26,Class 27,Class 28,Class 29,Class 30,Class 31,Class 32,Class 33,Class 34,Class 35,Class 36,Class 37,Class 38,Class 39,Class 40,Class 41,Class 42,Class 43,Class 44,Class 45,Class 46,Class 47,Class 48,Class 49,Class 50,Class 51,Class 52,Class 53,Class 54,Class 55,Class 56,Class 57,Class 58,Class 59,Class 60,Class 61,Class 62,Class 63,Class 64,Class 65,Class 66,Class 67,Class 68,Class 69,Class 70,Class 71,Class 72,Class 73,Class 74,Class 75,Class 76,Class 77,Class 78,Class 79,Class 80,Class 81,Class 82,Class 83,Class 84,Class 85,Class 86,Class 87,Class 88,Class 89,Class 90,Class 91,Class 92,Class 93,Class 94,Class 95,Class 96,Class 97,Class 98,Class 99
Class 12,0,2,0,0,0,0,0,0,0,1,0,0,40,1,0,1,0,5,0,1,0,1,0,0,0,2,0,1,0,0,0,0,0,2,0,0,0,1,0,1,2,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,7,0,2,0,0,0,0,0,0,0,3,0,0,4,0,0,0,1,1,0,0,0,0,3,1,0,1,3,1,1,0,0,3,1,0,2,0,0,0,0,0,0
Class 13,0,0,0,0,0,1,1,0,1,0,0,0,2,28,0,1,0,2,0,2,1,1,0,0,2,4,1,0,0,0,0,1,0,0,0,0,0,4,0,0,2,0,0,0,0,1,0,0,1,1,1,1,3,0,0,0,0,0,8,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,12,0,0,0,8,0,1,0,0,2,0,1,0,0,0,0,0,0,0
Class 14,0,2,0,2,0,0,2,4,1,0,1,0,0,0,25,1,0,0,0,0,0,1,0,1,2,1,0,1,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,2,1,0,0,5,1,0,1,0,0,2,0,3,0,0,0,0,1,1,0,1,0,1,1,0,1,3,0,1,1,5,3,0,1,2,1,0,0,0,1,0,0,2,1,1,2,1,1,1,1,0,0,0,2,1,0
Class 15,0,0,0,1,2,0,2,0,2,1,1,1,0,1,0,27,0,3,0,5,0,1,0,0,0,0,0,0,0,2,0,2,0,1,0,0,0,2,3,1,2,0,0,2,0,0,1,0,4,1,0,0,0,0,2,1,2,0,1,0,0,0,1,1,2,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,2,3,1,0,1,6,0,0,0,2,0,0,1,2,1,0
Class 16,0,1,1,1,0,0,0,1,1,3,3,0,0,0,0,1,49,1,0,0,1,1,6,0,1,0,1,0,4,0,0,0,1,0,0,0,0,2,0,0,2,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,2,2,0,1,0,0,0,1,3,0,0,0,0,0
Class 17,0,0,0,0,0,1,0,0,2,0,1,0,0,0,0,2,1,53,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,1,0,0,7,0,0,0,0,1,0,0,0,0,0,0,7,0,0,1,0,1,0,0,1,1,2,1,0,0,1,1,0,0,0,2,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,2,0,0,0,0,0,0,1,0,0,0
Class 18,0,2,0,0,3,2,4,0,1,1,0,1,0,0,2,0,0,0,10,0,0,0,0,0,1,0,1,4,0,1,1,1,0,0,1,0,0,0,0,3,1,0,4,1,4,2,1,0,0,0,0,1,0,0,2,1,0,1,0,0,0,1,0,1,1,2,0,1,0,0,1,1,0,3,2,3,1,1,6,2,0,0,1,1,0,1,0,0,2,0,0,6,0,0,0,2,0,0,1,3
Class 19,0,1,0,3,1,0,1,2,1,0,1,0,1,0,1,5,0,2,0,30,1,1,0,0,0,0,0,0,0,0,1,5,0,1,2,0,0,2,1,0,0,0,3,1,1,1,0,0,0,1,0,1,1,0,1,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,1,2,1,0,2,1,0,0,0,0,0,1,2,0,1,1,1,0,0,3,1,0,0,1,0,0,0,3,2,0
Class 20,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,3,0,0,1,80,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,1,0,0,0,1,2,1,0,0,0,0
Class 21,0,0,1,9,2,0,0,5,0,0,0,1,0,1,1,0,0,0,0,0,0,49,0,0,2,0,1,0,0,2,0,1,2,0,0,1,0,1,1,0,0,0,0,0,0,1,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,2,1,0,1,0,0,0,0,2,0,0,1,0,0,0,0,3,0
Class 22,1,2,1,0,0,0,0,1,0,2,3,0,1,0,0,0,1,0,0,1,0,1,39,0,1,2,1,1,0,0,0,0,1,0,0,0,2,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,3,0,0,0,11,1,0,3,0,0,0,0,0,0,2,1,0,0,0,1,0,2,0,0,0,0,0,0,1,3,3,0,0,0,0,0,0,1,0,0,0,2,0
Class 23,2,2,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,47,0,0,0,2,0,0,3,1,0,2,0,0,2,0,0,0,1,0,1,0,0,1,0,1,1,3,0,0,0,0,2,0,0,1,0,0,0,0,0,1,1,0,0,2,0,0,0,7,0,4,2,0,2,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,1,0,0
Class 24,0,0,0,1,0,0,0,5,0,2,0,1,0,0,0,2,0,0,0,0,0,0,0,0,68,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,2,0,1,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,2,0,0,2,0,0,0,1,1,0,0,0,1,0,0,0,2,0,0,0,0
Class 25,0,0,0,0,0,14,0,0,0,0,0,0,2,1,1,1,0,0,0,1,3,1,1,0,0,36,0,1,1,0,0,0,0,0,0,0,1,0,2,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,5,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,2,0,1,1,1,0,2,0,0,1,1,1,3,0,1,0,0,2,0,2,1,1,0,0,1
Class 26,0,1,0,0,1,1,1,2,2,0,4,0,0,0,1,2,0,0,3,0,0,1,3,0,3,0,24,3,1,1,0,0,2,0,0,1,1,0,0,0,0,2,0,1,1,1,1,0,1,1,0,2,1,0,1,1,1,0,0,0,0,0,0,2,2,1,1,2,0,0,1,0,1,0,3,2,0,0,1,0,0,0,2,1,0,0,1,0,2,0,0,0,1,3,0,1,0,1,0,0
Class 27,0,2,0,1,0,2,1,2,1,0,0,0,0,1,0,1,0,0,1,1,0,1,0,0,0,0,1,26,0,1,4,1,1,1,1,1,0,0,1,0,0,0,3,0,0,0,1,1,2,1,0,0,1,0,0,3,0,0,0,1,1,0,0,2,2,0,1,1,2,1,0,0,0,4,1,1,0,0,0,2,0,0,0,0,1,1,0,0,1,0,2,3,0,1,0,6,0,1,0,1
Class 28,1,0,0,0,0,0,0,0,1,3,2,0,0,0,0,0,1,0,0,0,1,0,2,0,0,0,0,0,69,0,0,0,0,1,0,1,1,0,0,0,6,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Class 29,0,0,3,0,0,0,4,0,0,0,0,0,0,0,0,2,1,1,0,2,2,0,0,0,1,0,3,0,0,39,1,3,0,4,1,0,0,0,0,0,1,2,1,0,3,2,0,0,1,0,2,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,3,2,0,0,0,1,0,3,2,1,0,1
Class 30,0,2,0,0,1,0,0,1,1,0,0,0,1,0,1,2,0,0,2,0,0,0,0,0,1,0,1,1,0,1,37,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,2,7,0,5,0,0,1,13,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,6,0,0,0,0
Class 31,0,1,0,4,1,0,0,0,2,0,0,0,1,0,0,4,0,0,0,5,0,2,1,1,0,0,0,0,0,4,1,31,0,2,3,0,0,2,2,0,0,1,1,2,2,0,0,0,2,1,1,1,2,0,2,1,2,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,2,1,0,0,0,0,0,0,1,0,0,0,0,0,1,2,0,0,0,0,0,2,1,1,0,0
Class 32,0,4,1,1,1,0,0,0,1,0,0,1,0,0,1,2,1,2,0,0,1,1,1,1,0,0,2,0,0,0,0,1,23,0,0,1,0,1,0,2,0,0,0,0,0,0,1,0,1,1,1,2,0,2,2,1,0,3,3,3,0,1,2,2,0,1,0,3,0,0,4,1,0,1,0,3,1,2,1,0,0,0,0,2,0,2,2,0,0,0,0,3,0,0,0,0,0,0,0,0
Class 33,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,2,0,0,37,1,0,0,0,0,0,0,0,3,0,1,0,0,4,0,6,1,2,0,0,0,0,4,1,0,2,2,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,1,1,1,2,0,2,1,1,0,1,0,1,3,0,0,0,0,0,1,1,7,0,0,0
Class 34,0,3,0,2,0,0,0,1,2,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,1,0,2,0,0,3,3,0,1,1,10,1,3,1,8,1,0,0,2,10,2,1,1,0,3,0,2,0,0,0,4,0,0,0,0,0,1,0,0,1,5,2,0,3,0,0,0,1,0,0,3,0,0,1,0,0,0,1,1,1,0,1,1,0,2,0,0,0,0,2,0,0,1,1,0,0
Class 35,1,0,5,1,0,1,1,0,2,2,0,4,0,1,0,0,2,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,1,17,3,0,0,0,0,0,1,1,0,1,3,0,2,0,1,1,0,0,3,0,1,0,0,1,0,0,4,0,3,2,1,1,0,0,0,0,0,0,1,1,0,0,1,2,1,0,1,0,0,1,2,0,1,2,0,0,0,0,1,0,0,3,11,0
Class 36,2,4,6,0,0,0,0,1,1,0,2,0,0,1,0,1,2,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,3,0,1,3,29,0,0,2,0,0,1,3,0,1,0,0,0,0,1,0,0,2,1,0,1,0,0,1,0,2,0,3,1,3,0,1,0,0,3,0,0,0,1,0,0,3,0,0,1,0,0,0,0,0,1,1,0,0,1,0,3,1,0,0,0,2,1,0
Class 37,0,0,0,0,1,1,0,0,0,1,0,0,3,7,0,2,1,15,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,22,0,1,1,0,1,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0,4,3,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,2,1,0,0,0,5,0,1,0,5,0,0,0,1,4,0,0,1,0,0,1,1,0,0
Class 38,0,0,1,0,1,0,3,1,6,0,0,0,1,1,2,1,0,0,1,3,0,1,0,0,0,0,0,2,3,1,3,1,1,0,4,0,0,0,16,0,0,2,2,0,1,2,0,1,1,0,1,0,0,0,0,1,3,1,0,1,0,0,0,0,0,2,2,0,0,1,1,0,0,0,3,2,0,0,0,2,0,0,0,0,2,0,0,0,4,5,0,0,0,0,0,3,1,2,1,0
Class 39,1,2,0,0,0,1,0,1,0,0,0,0,2,0,1,0,0,0,2,0,0,0,0,0,0,2,0,0,0,1,1,0,0,0,0,0,0,0,1,53,0,0,0,0,4,0,1,1,1,0,0,0,0,0,0,0,0,2,2,0,1,1,0,1,0,0,0,1,1,0,0,1,1,0,1,0,0,0,2,0,0,1,0,1,1,1,1,2,3,0,0,0,0,1,0,0,0,0,0,0
Class 40,1,1,1,0,0,1,0,0,0,4,1,1,1,0,0,1,2,0,0,1,2,1,0,0,0,0,0,0,5,0,0,0,1,0,0,0,0,0,0,0,41,0,0,1,1,0,1,0,0,0,0,1,0,0,1,0,2,1,0,0,0,2,0,0,0,0,1,0,0,5,0,0,0,1,0,0,1,1,0,4,0,0,0,0,1,1,1,1,0,0,0,0,0,0,4,0,0,0,1,3
Class 41,0,0,1,0,0,0,2,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,1,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,58,0,0,0,3,0,0,4,0,0,0,1,0,0,1,0,0,3,2,1,0,0,0,1,2,2,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,1,1,0,0,1,0,2,0,0
Class 42,0,2,0,0,0,0,2,1,0,0,0,1,1,0,2,0,1,0,0,0,0,2,0,1,0,1,0,0,0,2,0,0,1,2,3,0,0,0,2,0,0,0,27,1,2,1,1,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,2,3,3,1,3,1,0,1,0,0,0,0,2,0,0,0,0,2,2,0,0,1,0,0,1,2,8,0,0,0,0,3,0,0,1,4,0,0
Class 43,0,0,2,4,4,0,0,0,1,0,0,0,0,0,2,3,1,0,0,3,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,4,1,0,0,4,27,0,0,0,2,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,3,4,0,0,1,0,0,1,0,2,0,0,2,0,0,2,1,1,0,0,1,0,0,0,1,7,0,0,0,1,1,0,0,0,4,0,0
Class 44,1,1,1,0,0,0,2,4,0,0,0,2,1,0,1,0,0,1,1,1,0,0,1,0,1,1,1,9,0,1,3,0,0,0,1,1,0,0,1,1,0,2,1,0,17,0,0,0,0,0,0,0,0,0,1,2,1,1,1,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,3,3,0,1,4,4,0,0,1,0,0,0,1,0,0,0,0,4,2,4,0,3,0,1,1,1
Class 45,0,0,1,0,1,0,4,2,0,0,1,0,0,0,2,3,0,0,1,0,1,3,1,1,2,0,2,2,0,2,2,0,1,0,1,0,0,0,2,2,0,1,2,0,1,9,1,1,6,0,3,1,0,2,1,2,3,2,0,1,0,0,0,1,1,0,1,3,1,0,0,1,1,1,1,1,0,0,2,1,0,0,2,1,0,2,2,0,2,0,0,0,1,0,0,0,1,1,0,0
Class 46,0,1,3,1,0,0,2,0,3,0,1,7,0,0,0,2,0,1,0,1,0,4,0,0,1,0,0,0,3,0,1,1,2,0,0,7,0,0,0,0,4,2,1,0,0,0,24,0,1,1,0,0,0,2,1,0,1,1,0,1,0,0,0,0,2,0,1,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,2,1,1,1,3,0,0,3,0,1,0,0,1,0,1
Class 47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,0,0,0,2,0,0,1,0,1,1,0,0,0,41,0,1,0,0,23,0,1,0,2,0,0,5,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,12,0,0,0
Class 48,0,0,0,0,0,0,3,0,4,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,59,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,3,1,0,0,1,3,3,0,1,0,3,0,0,0,2,0,0,0,0,0,0
Class 49,0,3,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,63,0,1,1,0,1,0,2,0,0,0,1,0,0,0,0,0,0,1,2,1,0,3,0,2,0,0,1,0,0,2,0,0,0,0,0,2,0,0,0,0,1,1,0,1,0,1,0,0,0,0
Class 50,0,3,1,0,2,1,4,1,0,0,0,0,0,0,4,1,0,0,0,1,0,0,0,0,5,0,2,0,1,0,0,0,2,0,0,0,1,1,2,0,0,0,4,2,1,1,0,0,2,0,17,0,1,0,1,1,2,0,0,0,1,0,0,1,4,1,1,0,2,0,1,0,0,0,5,2,0,2,1,0,1,0,0,1,0,0,3,0,4,0,0,0,0,3,0,0,0,2,0,1
Class 51,0,2,0,0,0,0,1,1,2,0,0,0,0,1,0,0,0,1,0,2,0,3,0,0,0,0,1,1,1,0,3,0,0,1,1,0,0,1,1,0,0,0,3,0,0,1,0,2,2,2,0,30,1,0,1,1,2,3,0,0,0,0,2,0,1,0,2,0,0,0,1,0,0,0,5,1,0,1,1,0,0,1,2,1,0,1,0,0,1,2,1,0,1,2,0,0,1,1,1,0
Class 52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,65,0,0,0,0,1,0,10,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,1,0,0,0,0,0,1,0,0,0
Class 53,4,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,1,0,0,0,0,0,1,0,0,2,0,0,0,1,0,0,0,1,0,0,1,0,0,1,2,1,45,3,0,0,6,0,0,0,1,7,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,1,0,1,0,0,0,2,0,0,0,0,1,0,0
Class 54,0,2,0,1,2,0,1,0,1,0,0,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,2,0,0,1,1,2,0,1,0,0,0,0,0,0,0,0,5,2,0,0,0,0,3,0,1,40,0,0,1,0,4,0,0,2,1,1,1,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,6,2,0,0,0,4,1,0
Class 55,0,2,0,6,2,3,1,3,2,0,0,1,0,2,0,0,0,2,0,0,2,3,0,1,0,0,2,5,1,2,7,0,1,0,0,0,0,0,4,0,1,0,2,0,0,1,0,0,0,0,1,0,0,0,0,10,0,0,2,0,1,0,1,1,1,1,1,0,1,2,0,0,2,2,1,2,0,0,1,2,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,4,1,0,2,1
Class 56,0,0,0,0,0,0,3,0,1,0,0,0,1,1,0,2,1,1,0,0,0,0,0,1,0,1,0,0,2,1,0,2,0,3,0,0,1,0,0,0,1,0,1,0,0,0,0,3,0,0,0,0,3,0,0,0,48,0,1,6,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,3,2,0,0,0,2,0,0,0,0,0,0,3,2,0,0
Class 57,2,0,1,1,0,1,1,0,0,1,0,0,0,0,0,3,0,2,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,3,0,1,0,0,0,0,1,1,0,0,0,1,1,5,3,0,0,43,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,3,1,0,0,0,2,3,0,1,2,3,2,0,0,0,1,1,0,1,0,0,0,0
Class 58,0,0,0,0,2,2,0,1,0,0,0,0,3,7,0,0,0,3,0,0,0,0,0,0,0,2,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,2,0,0,0,1,0,1,3,0,0,0,1,0,0,0,1,0,39,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,8,0,0,1,10,0,0,0,2,2,0,0,0,0,0,0,1,0,0
Class 59,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2,0,1,0,2,0,0,1,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,8,1,3,0,0,11,0,0,0,8,0,0,31,0,0,0,2,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,2,2,1,0,0,5,0,0,1,0,1,0,0,0,0,1,7,0,0,0
Class 60,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,3,0,3,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,66,0,0,0,0,0,0,0,2,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Class 61,0,0,0,0,0,0,0,0,0,1,13,1,0,0,0,0,1,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,2,0,0,0,0,0,0,0,49,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,2
Class 62,1,4,0,0,0,0,1,0,2,0,4,0,0,0,2,0,0,0,0,2,0,1,1,0,0,0,2,0,1,0,0,0,0,0,0,2,2,0,0,0,0,1,0,2,1,0,1,1,0,0,0,3,0,2,3,0,0,1,0,1,0,0,38,1,0,0,0,0,0,0,5,0,0,0,0,0,0,1,0,0,0,0,5,0,0,0,0,0,0,0,0,0,3,0,1,0,4,1,0,0
